aX,aY,aZ,gX,gY,gZ
-0.055,-0.044,0.956,5.981,-0.305,2.686
-0.054,-0.044,0.956,5.798,-0.244,2.686
-0.055,-0.045,0.956,5.737,-0.122,2.747
-0.055,-0.044,0.957,5.798,-0.183,2.747
-0.055,-0.044,0.956,5.92,-0.061,2.869
-0.056,-0.044,0.956,5.859,-0.366,2.686
-0.056,-0.044,0.957,5.859,-0.061,2.747
-0.054,-0.044,0.955,5.737,-0.122,2.625
-0.056,-0.044,0.955,5.92,-0.061,2.808
-0.056,-0.044,0.956,5.798,-0.122,2.686
-0.056,-0.044,0.956,5.798,-0.061,2.625
-0.055,-0.044,0.956,5.798,0.0,2.686
-0.055,-0.043,0.956,5.981,-0.122,2.686
-0.055,-0.044,0.955,5.92,-0.122,2.686
-0.055,-0.044,0.958,5.798,-0.122,2.625
-0.056,-0.044,0.956,5.981,0.0,2.625
-0.056,-0.044,0.956,6.042,-0.061,2.625
-0.056,-0.044,0.956,6.042,-0.183,2.686
-0.055,-0.043,0.956,5.737,-0.122,2.563
-0.055,-0.045,0.957,5.737,-0.122,2.625
-0.056,-0.045,0.958,5.92,-0.061,2.686
-0.054,-0.044,0.956,5.859,-0.183,2.808
-0.055,-0.044,0.957,5.859,-0.244,2.747
-0.056,-0.044,0.956,5.981,-0.183,2.686
-0.056,-0.043,0.956,5.798,-0.244,2.625
-0.054,-0.043,0.955,5.676,-0.122,2.625
-0.055,-0.044,0.956,5.737,-0.061,2.625
-0.056,-0.044,0.956,5.859,-0.122,2.747
-0.056,-0.044,0.956,5.92,-0.061,2.686
-0.055,-0.044,0.957,5.859,-0.122,2.686
-0.055,-0.045,0.957,5.676,-0.183,2.747
-0.055,-0.044,0.956,5.737,-0.183,2.625
-0.056,-0.043,0.956,5.92,-0.061,2.563
-0.056,-0.045,0.956,5.981,-0.122,2.563
-0.054,-0.044,0.957,6.042,-0.305,2.686
-0.056,-0.044,0.956,5.92,-0.183,2.502
-0.055,-0.044,0.956,5.92,-0.122,2.502
-0.056,-0.044,0.957,5.92,-0.122,2.747
-0.055,-0.045,0.957,5.737,-0.122,2.686
-0.054,-0.045,0.957,5.615,-0.122,2.747
-0.055,-0.044,0.955,5.737,-0.122,2.686
-0.055,-0.045,0.957,5.92,-0.305,2.625
-0.055,-0.044,0.956,5.737,-0.183,2.563
-0.055,-0.044,0.956,5.676,-0.183,2.686
-0.055,-0.044,0.955,5.676,-0.183,2.686
-0.055,-0.044,0.957,5.798,-0.244,2.747
-0.055,-0.045,0.956,5.737,-0.305,2.686
-0.055,-0.044,0.956,5.859,-0.183,2.625
-0.055,-0.044,0.957,5.859,-0.305,2.686
-0.056,-0.044,0.956,5.859,-0.244,2.625
-0.055,-0.044,0.956,5.737,-0.122,2.563
-0.055,-0.044,0.957,5.798,-0.061,2.686
-0.055,-0.044,0.956,5.92,-0.244,2.686
-0.055,-0.044,0.958,5.859,-0.183,2.747
-0.054,-0.043,0.956,5.859,-0.122,2.625
-0.055,-0.044,0.956,5.737,-0.122,2.563
-0.056,-0.044,0.956,5.859,-0.183,2.625
-0.055,-0.044,0.956,5.92,-0.061,2.686
-0.055,-0.044,0.956,5.981,-0.122,2.625
-0.056,-0.044,0.957,5.798,-0.183,2.747
-0.055,-0.045,0.957,5.737,-0.183,2.747
-0.055,-0.044,0.956,5.798,-0.122,2.747
-0.056,-0.045,0.956,5.92,-0.183,2.747
-0.055,-0.044,0.957,6.042,-0.183,2.869
-0.054,-0.044,0.956,5.798,-0.122,2.747
-0.055,-0.044,0.956,5.798,-0.061,2.686
-0.056,-0.044,0.955,5.798,-0.061,2.808
-0.056,-0.044,0.956,5.676,-0.183,2.747
-0.055,-0.044,0.956,5.676,-0.122,2.686
-0.055,-0.044,0.956,5.859,-0.183,2.686
-0.055,-0.044,0.956,5.737,-0.061,2.625
-0.056,-0.045,0.956,5.737,-0.305,2.625
-0.055,-0.044,0.956,5.798,-0.244,2.625
-0.055,-0.043,0.957,5.676,0.0,2.747
-0.055,-0.044,0.956,5.859,-0.305,2.686
-0.055,-0.044,0.956,5.92,-0.305,2.625
-0.056,-0.044,0.957,5.92,-0.244,2.747
-0.056,-0.044,0.957,5.92,-0.183,2.625
-0.056,-0.044,0.956,5.92,-0.244,2.563
-0.055,-0.044,0.956,5.798,-0.061,2.625
-0.055,-0.045,0.956,5.859,-0.061,2.747
-0.055,-0.044,0.956,5.981,-0.244,2.686
-0.055,-0.045,0.956,5.798,-0.122,2.625
-0.055,-0.044,0.956,5.92,-0.244,2.747
-0.056,-0.044,0.956,5.92,-0.122,2.747
-0.056,-0.044,0.956,5.859,0.0,2.686
-0.054,-0.045,0.956,5.859,0.061,2.686
-0.056,-0.045,0.956,5.859,-0.061,2.747
-0.054,-0.044,0.956,5.737,-0.122,2.686
-0.055,-0.044,0.956,5.92,-0.305,2.747
-0.055,-0.044,0.955,5.92,-0.366,2.808
-0.055,-0.044,0.958,5.676,-0.183,2.747
-0.054,-0.044,0.956,5.859,-0.061,2.686
-0.056,-0.044,0.956,5.92,-0.183,2.747
-0.055,-0.044,0.955,5.981,-0.244,2.686
-0.056,-0.044,0.956,5.92,-0.183,2.808
-0.056,-0.044,0.956,5.737,-0.183,2.747
-0.055,-0.044,0.956,5.676,-0.244,2.625
-0.055,-0.044,0.956,5.798,-0.183,2.747
-0.054,-0.045,0.955,5.798,-0.061,2.625
-0.056,-0.043,0.955,5.859,-0.244,2.686
-0.056,-0.044,0.956,6.104,-0.061,2.808
-0.056,-0.044,0.956,5.92,-0.122,2.747
-0.056,-0.044,0.956,5.859,0.0,2.747
-0.056,-0.045,0.956,5.859,-0.061,2.747
-0.055,-0.044,0.955,5.737,-0.244,2.686
-0.056,-0.044,0.955,5.798,-0.183,2.747
-0.055,-0.045,0.956,5.859,-0.305,2.747
-0.055,-0.045,0.956,5.92,-0.366,2.747
-0.056,-0.045,0.955,5.981,-0.244,2.747
-0.056,-0.044,0.957,5.981,-0.122,2.747
-0.056,-0.044,0.955,5.859,-0.366,2.808
-0.056,-0.044,0.956,5.981,-0.244,2.686
-0.056,-0.043,0.956,5.859,-0.183,2.502
-0.055,-0.043,0.956,5.859,-0.244,2.686
-0.054,-0.044,0.956,5.798,-0.183,2.686
-0.055,-0.044,0.956,5.92,-0.122,2.808
-0.055,-0.044,0.956,5.798,-0.122,2.686
-0.056,-0.044,0.956,5.798,-0.061,2.625
-0.055,-0.044,0.956,5.676,0.0,2.686
-0.055,-0.044,0.957,5.676,-0.061,2.686
-0.055,-0.045,0.956,5.737,-0.244,2.808
-0.056,-0.044,0.956,5.798,-0.122,2.686
-0.056,-0.044,0.955,5.859,-0.183,2.747
-0.055,-0.044,0.955,5.981,-0.061,2.686
-0.055,-0.043,0.955,5.859,0.0,2.625
-0.055,-0.044,0.956,5.981,-0.061,2.686
-0.055,-0.044,0.956,5.859,-0.061,2.747
-0.056,-0.044,0.955,5.859,0.0,2.747
-0.056,-0.043,0.956,6.042,0.0,2.747
-0.056,-0.044,0.956,5.798,-0.244,2.747
-0.056,-0.044,0.956,5.859,-0.244,2.563
-0.054,-0.044,0.957,5.676,-0.183,2.686
-0.054,-0.044,0.956,5.676,-0.061,2.747
-0.056,-0.044,0.955,6.104,-0.122,2.747
-0.055,-0.044,0.956,6.042,-0.061,2.747
-0.055,-0.043,0.956,5.798,-0.305,2.625
-0.056,-0.044,0.957,5.676,-0.305,2.747
-0.055,-0.045,0.956,5.92,-0.183,2.625
-0.056,-0.044,0.957,5.737,-0.122,2.747
-0.055,-0.043,0.957,5.798,-0.061,2.686
-0.056,-0.044,0.957,5.798,-0.183,2.808
-0.054,-0.045,0.956,5.981,-0.244,2.808
-0.055,-0.043,0.956,5.981,-0.244,2.808
-0.056,-0.044,0.957,5.798,-0.183,2.747
-0.054,-0.045,0.957,6.104,-0.183,2.808
-0.055,-0.046,0.957,5.981,-0.122,2.686
-0.056,-0.044,0.956,5.859,-0.244,2.747
-0.056,-0.045,0.956,5.859,-0.305,2.625
-0.055,-0.044,0.956,5.737,-0.305,2.686
-0.056,-0.044,0.956,5.92,-0.183,2.747
-0.055,-0.045,0.955,5.737,0.0,2.563
-0.056,-0.044,0.956,5.981,-0.183,2.563
-0.055,-0.043,0.956,5.92,-0.061,2.747
-0.055,-0.043,0.955,5.92,-0.122,2.686
-0.054,-0.044,0.955,5.92,-0.122,2.563
-0.055,-0.044,0.957,5.859,-0.122,2.625
-0.056,-0.044,0.956,5.859,-0.244,2.747
-0.056,-0.044,0.956,5.92,-0.122,2.686
-0.055,-0.045,0.955,5.92,-0.122,2.625
-0.055,-0.044,0.956,5.798,0.061,2.686
-0.055,-0.043,0.954,5.798,-0.061,2.869
-0.055,-0.044,0.955,5.737,-0.183,2.93
-0.055,-0.043,0.956,5.981,0.0,2.747
-0.056,-0.045,0.955,5.798,-0.122,2.808
-0.056,-0.045,0.955,5.981,-0.061,2.808
-0.054,-0.044,0.956,5.981,-0.183,2.747
-0.055,-0.044,0.956,5.859,-0.183,2.686
-0.056,-0.044,0.957,5.92,-0.122,2.686
-0.056,-0.043,0.955,5.798,0.0,2.808
-0.056,-0.044,0.956,5.859,-0.061,2.808
-0.055,-0.044,0.956,5.798,-0.183,2.808
-0.055,-0.044,0.956,5.798,0.0,2.747
-0.055,-0.045,0.956,5.737,-0.061,2.747
-0.053,-0.043,0.956,5.981,-0.061,2.869
-0.055,-0.044,0.956,5.981,-0.122,2.747
-0.056,-0.044,0.956,5.981,-0.122,2.686
-0.055,-0.044,0.955,5.859,-0.122,2.686
-0.055,-0.044,0.956,5.798,-0.244,2.686
-0.055,-0.044,0.956,5.981,-0.122,2.747
-0.055,-0.044,0.955,5.737,-0.122,2.808
-0.054,-0.044,0.957,5.737,-0.244,2.686
-0.056,-0.045,0.957,5.859,-0.061,2.686
-0.056,-0.044,0.956,5.92,-0.122,2.625
-0.055,-0.044,0.955,5.798,-0.061,2.686
-0.056,-0.044,0.956,5.737,-0.061,2.625
-0.056,-0.044,0.956,5.859,-0.122,2.686
-0.056,-0.043,0.956,5.92,-0.183,2.808
-0.055,-0.043,0.956,5.798,-0.122,2.747
-0.056,-0.044,0.955,5.798,-0.122,2.808
-0.055,-0.045,0.956,5.798,-0.183,2.625
-0.054,-0.044,0.955,5.92,-0.122,2.808
-0.055,-0.044,0.955,5.981,-0.183,2.747
-0.056,-0.044,0.956,5.859,-0.305,2.625
-0.056,-0.044,0.956,5.859,-0.305,2.747
-0.055,-0.044,0.956,5.859,-0.122,2.686
-0.056,-0.044,0.956,5.981,-0.244,2.686
-0.055,-0.043,0.955,5.92,-0.183,2.686
-0.055,-0.045,0.955,6.042,-0.122,2.747
-0.055,-0.044,0.956,5.981,-0.061,2.747
-0.055,-0.044,0.956,5.981,-0.061,2.686
-0.056,-0.045,0.957,6.042,-0.183,2.808
-0.056,-0.044,0.956,5.92,-0.244,2.686
-0.055,-0.044,0.956,5.981,-0.244,2.686
-0.055,-0.045,0.956,5.92,-0.183,2.686
-0.056,-0.044,0.957,5.92,-0.366,2.686
-0.055,-0.044,0.956,5.676,-0.244,2.747
-0.055,-0.044,0.956,5.737,-0.183,2.686
-0.056,-0.044,0.955,5.92,-0.244,2.747
-0.055,-0.043,0.956,5.981,-0.183,2.747
-0.056,-0.044,0.955,5.859,-0.244,2.563
-0.056,-0.044,0.956,5.859,-0.183,2.686
-0.054,-0.043,0.956,5.859,-0.061,2.747
-0.055,-0.044,0.958,5.981,-0.061,2.686
-0.055,-0.044,0.956,6.042,-0.061,2.625
-0.056,-0.044,0.956,5.92,-0.122,2.747
-0.056,-0.044,0.957,6.042,-0.183,2.869
-0.055,-0.043,0.956,5.737,-0.122,2.686
-0.056,-0.044,0.956,5.981,-0.122,2.869
-0.055,-0.044,0.956,5.92,0.0,2.747
-0.055,-0.044,0.956,5.981,-0.305,2.625
-0.055,-0.044,0.956,5.92,-0.122,2.808
-0.055,-0.044,0.957,5.981,-0.122,2.808
-0.055,-0.045,0.955,6.104,-0.122,2.686
-0.056,-0.044,0.955,6.042,-0.183,2.625
-0.056,-0.044,0.956,5.859,-0.183,2.686
-0.056,-0.045,0.955,6.042,0.061,2.808
-0.055,-0.044,0.956,6.165,0.0,2.625
-0.056,-0.044,0.955,5.92,-0.122,2.686
-0.055,-0.044,0.955,5.798,-0.122,2.686
-0.055,-0.044,0.956,5.92,-0.244,2.747
-0.055,-0.045,0.955,5.981,-0.183,2.686
-0.055,-0.045,0.955,5.798,-0.061,2.625
-0.055,-0.044,0.956,5.981,-0.061,2.808
-0.055,-0.044,0.956,5.737,-0.061,2.747
-0.055,-0.045,0.956,5.798,-0.183,2.686
-0.056,-0.044,0.955,5.981,-0.122,2.686
-0.055,-0.044,0.956,5.92,-0.183,2.747
-0.054,-0.044,0.956,5.859,-0.244,2.563
-0.055,-0.044,0.956,5.676,-0.183,2.625
-0.056,-0.043,0.956,5.92,-0.183,2.747
-0.055,-0.044,0.956,5.92,-0.122,2.563
-0.055,-0.044,0.955,5.92,-0.061,2.502
-0.055,-0.044,0.957,5.798,-0.183,2.563
-0.055,-0.044,0.956,5.859,-0.183,2.686
-0.054,-0.045,0.955,5.737,-0.183,2.686
-0.055,-0.044,0.956,5.737,0.061,2.625
-0.055,-0.044,0.956,5.798,-0.122,2.686
-0.055,-0.044,0.956,5.859,-0.061,2.686
-0.055,-0.044,0.956,5.92,-0.122,2.747
-0.055,-0.044,0.956,6.042,-0.183,2.625
-0.056,-0.044,0.956,5.92,-0.183,2.686
-0.055,-0.044,0.955,5.981,-0.183,2.686
-0.055,-0.044,0.956,5.798,0.0,2.747
-0.055,-0.044,0.957,5.798,-0.061,2.686
-0.056,-0.043,0.955,5.859,-0.061,2.747
-0.055,-0.044,0.956,5.859,-0.183,2.808
-0.055,-0.044,0.956,6.042,-0.061,2.625
-0.056,-0.043,0.955,5.92,-0.183,2.747
-0.055,-0.043,0.956,5.737,-0.244,2.747
-0.055,-0.044,0.957,5.859,-0.061,2.686
-0.055,-0.043,0.956,5.92,-0.061,2.747
-0.055,-0.044,0.956,6.104,-0.244,2.747
-0.055,-0.044,0.955,5.859,-0.244,2.686
-0.055,-0.044,0.957,5.737,-0.244,2.747
-0.056,-0.045,0.957,5.859,-0.061,2.625
-0.054,-0.044,0.956,5.859,-0.183,2.625
-0.055,-0.044,0.955,5.798,-0.183,2.625
-0.054,-0.044,0.956,5.859,0.0,2.686
-0.055,-0.044,0.955,5.981,-0.061,2.747
-0.055,-0.044,0.956,5.737,-0.183,2.563
-0.055,-0.044,0.956,5.676,-0.366,2.747
-0.055,-0.043,0.955,5.737,-0.244,2.686
-0.055,-0.044,0.956,5.737,-0.305,2.747
-0.056,-0.044,0.956,5.737,-0.183,2.686
-0.056,-0.044,0.956,5.859,-0.183,2.563
-0.055,-0.043,0.956,5.676,-0.183,2.625
-0.055,-0.044,0.956,5.676,-0.061,2.747
-0.054,-0.044,0.955,5.798,-0.122,2.686
-0.055,-0.044,0.955,5.92,-0.305,2.747
-0.055,-0.043,0.955,5.737,-0.061,2.747
-0.055,-0.044,0.956,5.798,-0.061,2.625
-0.055,-0.044,0.956,5.981,-0.244,2.686
-0.055,-0.044,0.956,5.92,-0.061,2.563
-0.055,-0.044,0.956,5.92,-0.244,2.563
-0.054,-0.043,0.956,5.92,-0.122,2.747
-0.055,-0.044,0.956,5.859,-0.244,2.686
-0.055,-0.045,0.956,5.981,-0.305,2.563
-0.055,-0.043,0.956,6.104,-0.244,2.686
-0.055,-0.043,0.955,6.042,-0.244,2.686
-0.055,-0.045,0.955,5.798,-0.244,2.747
-0.056,-0.044,0.956,5.676,-0.244,2.747
-0.056,-0.044,0.956,5.676,-0.366,2.686
-0.055,-0.044,0.957,5.676,-0.244,2.625
-0.056,-0.044,0.956,5.859,-0.183,2.625
-0.055,-0.044,0.955,5.798,-0.183,2.502
-0.055,-0.044,0.957,5.798,0.0,2.625
-0.055,-0.045,0.955,5.798,-0.183,2.563
-0.055,-0.044,0.956,5.798,-0.244,2.563
-0.055,-0.044,0.956,5.798,-0.183,2.686
-0.055,-0.044,0.955,5.859,-0.122,2.625
-0.055,-0.043,0.956,5.676,-0.122,2.625
-0.055,-0.043,0.956,5.737,-0.122,2.747
-0.055,-0.043,0.955,5.859,-0.061,2.808
-0.055,-0.043,0.956,5.798,0.0,2.625
-0.055,-0.044,0.956,5.92,-0.244,2.686
-0.055,-0.045,0.955,5.92,-0.122,2.686
-0.056,-0.043,0.956,5.981,-0.122,2.625
-0.055,-0.044,0.955,5.859,-0.061,2.747
-0.055,-0.045,0.955,6.042,-0.122,2.686
-0.055,-0.043,0.955,5.981,-0.122,2.563
-0.055,-0.043,0.956,5.859,-0.122,2.625
-0.055,-0.043,0.957,5.737,-0.061,2.625
-0.055,-0.044,0.956,5.981,-0.244,2.747
-0.056,-0.044,0.955,6.042,-0.244,2.686
-0.055,-0.044,0.956,5.676,-0.122,2.686
-0.055,-0.044,0.957,5.676,-0.122,2.747
-0.056,-0.044,0.956,5.737,-0.183,2.686
-0.055,-0.045,0.957,5.859,-0.122,2.686
-0.056,-0.044,0.956,5.859,-0.244,2.625
-0.055,-0.044,0.957,5.859,-0.305,2.625
-0.056,-0.044,0.956,5.737,-0.244,2.686
-0.056,-0.044,0.956,5.92,-0.305,2.686
-0.055,-0.044,0.956,5.737,-0.244,2.625
-0.055,-0.045,0.958,5.676,-0.183,2.747
-0.055,-0.045,0.957,5.859,-0.305,2.747
-0.055,-0.044,0.955,5.737,-0.366,2.686
-0.055,-0.044,0.955,5.798,-0.244,2.747
-0.055,-0.044,0.956,5.92,-0.122,2.747
-0.055,-0.044,0.957,5.798,-0.366,2.747
-0.056,-0.044,0.956,5.92,-0.061,2.747
-0.056,-0.043,0.956,5.981,-0.244,2.686
-0.055,-0.044,0.956,5.981,-0.305,2.563
